                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2927,                 3.2673,                 1.3903,                0.00468,                      1,                0.15593,                0.06739,                 1.5065,                 3.5891,                 1.7123,                  5e-05,                  5e-05,                  5e-05
                      2,                 1.3344,                 3.0613,                  1.395,                0.00501,                      1,                0.19061,                0.11262,                 1.1994,                  3.338,                 1.4612,             0.00011139,             0.00011139,             0.00011139
                      3,                 1.2848,                 2.6524,                 1.3607,                0.00478,                      1,                0.31731,                0.18686,                 1.1081,                 3.0236,                 1.3748,             0.00017154,             0.00017154,             0.00017154
                      4,                 1.3056,                 2.4582,                 1.3899,                0.24087,                0.37489,                0.32473,                0.17859,                 1.0627,                 2.9995,                 1.3349,             0.00023045,             0.00023045,             0.00023045
                      5,                 1.2008,                 2.2562,                 1.2869,                0.79905,                0.14628,                0.35103,                0.21482,                 1.0901,                 2.8732,                 1.3614,             0.00028812,             0.00028812,             0.00028812
                      6,                 1.2103,                 2.2515,                 1.3149,                0.63874,                0.29638,                0.43607,                0.23031,                 1.1432,                 2.7034,                 1.3795,             0.00034456,             0.00034456,             0.00034456
                      7,                  1.238,                 2.2413,                 1.3665,                0.74008,                0.33621,                0.48192,                0.31868,                 1.0398,                 2.4957,                  1.317,             0.00039975,             0.00039975,             0.00039975
                      8,                 1.2222,                 2.0587,                 1.3218,                0.63099,                0.34457,                0.42857,                0.28945,                 1.1539,                 2.5094,                 1.3458,             0.00045372,             0.00045372,             0.00045372
                      9,                 1.1862,                 2.0262,                 1.2748,                0.63429,                0.29172,                0.49317,                0.29691,                 1.1885,                 2.6284,                  1.426,             0.00050644,             0.00050644,             0.00050644
                     10,                 1.1479,                 1.9178,                 1.2394,                0.77556,                0.38696,                0.47303,                0.28767,                 1.1752,                 2.3219,                   1.39,             0.00055793,             0.00055793,             0.00055793
                     11,                 1.1873,                 1.8417,                 1.2596,                0.89784,                    0.3,                0.43041,                 0.2627,                 1.1556,                 2.1523,                 1.3719,             0.00060818,             0.00060818,             0.00060818
                     12,                 1.1415,                 1.7974,                 1.2015,                0.65756,                0.54428,                0.66278,                0.42508,                 1.0955,                 2.0914,                 1.3352,             0.00065719,             0.00065719,             0.00065719
                     13,                 1.1368,                 1.7125,                 1.1804,                0.57782,                0.57327,                0.66174,                0.44184,                 1.0506,                 1.9556,                 1.3309,             0.00070496,             0.00070496,             0.00070496
                     14,                 1.0883,                 1.6958,                 1.2173,                0.67468,                0.57367,                0.71663,                 0.4374,                 1.1647,                 2.1793,                  1.521,              0.0007515,              0.0007515,              0.0007515
                     15,                 1.0944,                 1.6333,                 1.2228,                0.59097,                0.53878,                0.73311,                 0.5106,                 1.0175,                      2,                 1.2762,             0.00079679,             0.00079679,             0.00079679
                     16,                  1.085,                  1.668,                 1.1947,                0.62832,                0.81633,                 0.7751,                0.54639,                 1.0138,                 1.8656,                 1.2841,             0.00084086,             0.00084086,             0.00084086
                     17,                 1.1087,                 1.6574,                 1.2084,                 0.7383,                0.52353,                0.75164,                0.45022,                  1.184,                  2.097,                 1.5727,             0.00088368,             0.00088368,             0.00088368
                     18,                 1.1657,                 1.6216,                 1.2167,                0.25668,                0.59795,                0.55263,                0.30781,                 1.2165,                 2.2221,                 1.5535,             0.00092527,             0.00092527,             0.00092527
                     19,                  1.162,                 1.6028,                 1.2137,                0.33716,                0.54583,                 0.6093,                0.40668,                0.99917,                 2.3103,                 1.2958,             0.00096562,             0.00096562,             0.00096562
                     20,                 1.2028,                 1.6966,                 1.2476,                0.79587,                0.50638,                0.75098,                0.50671,                 1.0577,                 2.2495,                 1.2729,              0.0010047,              0.0010047,              0.0010047
                     21,                 1.1398,                  1.575,                 1.2029,                0.84293,                0.45782,                0.61196,                0.35652,                 1.3028,                 2.1943,                  1.505,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.1137,                 1.5091,                 1.2139,                0.84812,                0.38851,                0.54771,                0.31209,                 1.3447,                 2.4685,                 1.6074,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.1249,                 1.5739,                 1.2399,                0.57656,                0.60841,                0.67243,                  0.417,                 1.2968,                 2.6752,                 1.5929,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.2182,                 1.6132,                 1.2892,                0.64381,                0.68056,                0.73889,                0.46682,                  1.164,                 3.4623,                 1.4962,             0.00097775,             0.00097775,             0.00097775
