                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0557,                 3.6184,                 2.0235,                0.00277,                0.75221,                0.01153,                0.00361,                 2.7007,                 5.0711,                 2.4867,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 1.8033,                 3.4086,                 1.8619,                0.00362,                0.97717,                0.06044,                0.02204,                 2.0204,                 3.6424,                 2.0736,             0.00012649,             0.00012649,             0.00012649
                      3,                 1.5043,                 3.0016,                 1.6863,                0.22047,                0.19102,                0.19736,                 0.0861,                 2.0652,                 3.3316,                 2.0807,             0.00019346,             0.00019346,             0.00019346
                      4,                 1.4289,                 2.6253,                 1.5658,                0.41135,                0.12004,                0.24185,                0.10897,                 2.1234,                 3.2329,                 2.1948,             0.00025807,             0.00025807,             0.00025807
                      5,                 1.2446,                 2.2831,                 1.4564,                0.34528,                0.16386,                0.29266,                 0.1525,                 2.1393,                 3.0879,                 2.2641,             0.00032032,             0.00032032,             0.00032032
                      6,                 1.3776,                 2.0737,                 1.4867,                0.35431,                0.31351,                0.36876,                0.20931,                 2.0488,                 2.8824,                 2.1904,             0.00038022,             0.00038022,             0.00038022
                      7,                 1.2511,                 1.8822,                 1.3789,                0.65291,                0.59644,                0.62743,                0.38697,                 1.5669,                  2.282,                 1.7968,             0.00043776,             0.00043776,             0.00043776
                      8,                 1.1647,                 1.6317,                 1.3112,                0.72759,                0.65032,                0.75626,                0.49249,                 1.3324,                 2.0711,                 1.5828,             0.00049294,             0.00049294,             0.00049294
                      9,                 1.1039,                 1.6431,                 1.2991,                0.80257,                0.77347,                0.85675,                0.61014,                 1.1568,                 1.9294,                 1.4241,             0.00054576,             0.00054576,             0.00054576
                     10,                 1.0234,                 1.5079,                 1.2085,                0.87094,                0.74438,                0.85085,                0.62958,                  1.162,                 1.8035,                 1.4284,             0.00059623,             0.00059623,             0.00059623
                     11,                  1.069,                 1.5109,                 1.2313,                0.82563,                0.81211,                 0.8837,                0.66231,                 1.1204,                 1.5623,                 1.3688,             0.00064434,             0.00064434,             0.00064434
                     12,                 1.0317,                 1.3491,                 1.1881,                0.80132,                0.84703,                0.88849,                0.69327,                0.85704,                 1.3052,                 1.1596,             0.00069009,             0.00069009,             0.00069009
                     13,                0.99717,                 1.3938,                 1.1561,                0.89299,                0.81691,                0.92762,                0.74573,                0.78129,                 1.2546,                 1.0887,             0.00073348,             0.00073348,             0.00073348
                     14,                0.97377,                 1.3088,                 1.1915,                 0.9127,                0.98333,                0.97404,                0.79748,                0.75319,                 1.2976,                 1.0449,             0.00077451,             0.00077451,             0.00077451
                     15,                0.94363,                 1.2653,                 1.1758,                0.87511,                0.95451,                0.97669,                0.79832,                 0.7495,                 1.3567,                 1.0356,             0.00081319,             0.00081319,             0.00081319
                     16,                0.97913,                 1.3571,                  1.177,                 0.8783,                0.95142,                0.97095,                0.78125,                0.74678,                 1.3044,                 1.0365,              0.0008495,              0.0008495,              0.0008495
                     17,                0.97835,                 1.2753,                 1.1731,                0.89668,                 0.9496,                0.97592,                 0.7435,                0.86262,                 1.1702,                 1.0941,             0.00088346,             0.00088346,             0.00088346
                     18,                 1.0195,                 1.2024,                 1.1961,                      1,                0.91843,                0.98372,                0.74857,                0.83869,                 1.0417,                 1.0863,             0.00091507,             0.00091507,             0.00091507
                     19,                 0.9424,                 1.2002,                  1.153,                0.99904,                0.93819,                0.98372,                0.79834,                 0.7522,                0.96488,                 1.0603,             0.00094431,             0.00094431,             0.00094431
                     20,                 1.0181,                 1.1907,                 1.1863,                0.99519,                0.92185,                0.98167,                0.80812,                 0.7137,                 1.0005,                 1.0658,              0.0009712,              0.0009712,              0.0009712
                     21,                0.98002,                 1.1948,                  1.147,                0.99358,                0.92339,                 0.9785,                0.81321,                0.71904,                0.98894,                 1.0576,             0.00095743,             0.00095743,             0.00095743
                     22,                0.97668,                 1.1672,                 1.1451,                0.98607,                0.94544,                0.98583,                0.81661,                0.70894,                0.98421,                 1.0513,             0.00095743,             0.00095743,             0.00095743
                     23,                0.93196,                 1.1886,                 1.1397,                0.98133,                0.94303,                0.98528,                0.83203,                0.68572,                 1.0019,                  1.034,             0.00093385,             0.00093385,             0.00093385
                     24,                0.95986,                 1.1778,                 1.1466,                 0.9823,                0.95806,                0.98543,                0.84195,                0.72336,                 1.0039,                  1.048,             0.00091027,             0.00091027,             0.00091027
                     25,                 1.0171,                 1.2123,                  1.176,                0.98626,                0.95638,                0.99117,                0.84662,                0.67802,                0.95718,                 1.0135,             0.00088669,             0.00088669,             0.00088669
                     26,                 1.0136,                  1.228,                 1.1992,                0.95779,                0.98047,                0.99133,                0.84152,                0.68672,                 0.9721,                0.99765,             0.00086312,             0.00086312,             0.00086312
                     27,                0.93523,                 1.1033,                  1.149,                 0.9233,                0.97336,                 0.9898,                0.84109,                0.72136,                 1.0191,                  1.017,             0.00083954,             0.00083954,             0.00083954
                     28,                0.93822,                  1.153,                 1.1139,                 0.9465,                0.98589,                0.99453,                0.84131,                0.68813,                0.89993,                 1.0023,             0.00081596,             0.00081596,             0.00081596
                     29,                 0.9649,                 1.1326,                 1.1602,                0.99755,                0.99161,                0.99484,                0.85866,                0.63707,                0.83216,                0.97048,             0.00079238,             0.00079238,             0.00079238
                     30,                0.89846,                 1.0568,                  1.084,                0.97984,                0.99676,                  0.995,                0.85888,                0.63774,                0.81543,                0.97256,              0.0007688,              0.0007688,              0.0007688
                     31,                0.88317,                 1.0621,                 1.0894,                0.96868,                0.99739,                  0.995,                0.85578,                0.67564,                0.84809,                   0.99,             0.00074522,             0.00074522,             0.00074522
                     32,                0.90401,                 1.0749,                 1.0868,                0.97473,                      1,                  0.995,                0.88684,                0.59669,                0.81779,                0.94248,             0.00072164,             0.00072164,             0.00072164
                     33,                0.93789,                  1.077,                 1.1106,                0.98352,                      1,                  0.995,                0.88059,                0.61422,                0.81358,                 0.9442,             0.00069807,             0.00069807,             0.00069807
                     34,                0.89603,                 1.0668,                 1.1113,                0.99533,                      1,                  0.995,                0.86345,                0.64733,                0.81886,                0.96738,             0.00067449,             0.00067449,             0.00067449
                     35,                0.88241,                   1.02,                 1.0885,                0.97964,                0.98885,                  0.995,                 0.8543,                0.64513,                0.81025,                0.97539,             0.00065091,             0.00065091,             0.00065091
                     36,                0.81998,                0.99864,                 1.0514,                0.97482,                0.96483,                  0.995,                 0.8631,                0.61579,                0.82663,                0.96768,             0.00062733,             0.00062733,             0.00062733
                     37,                0.84456,                0.97857,                 1.0862,                0.97258,                0.95396,                0.99484,                0.86425,                0.60404,                0.86098,                0.96537,             0.00060375,             0.00060375,             0.00060375
                     38,                0.84669,                0.99605,                 1.0464,                0.97096,                0.96593,                0.99468,                0.86763,                0.58966,                0.86071,                 0.9579,             0.00058017,             0.00058017,             0.00058017
                     39,                0.95561,                  1.087,                  1.167,                0.97066,                0.96741,                0.99453,                0.87527,                0.58386,                0.84068,                0.95366,              0.0005566,              0.0005566,              0.0005566
                     40,                0.75352,                0.89663,                 1.0519,                0.97464,                0.99216,                  0.995,                0.88934,                0.56309,                0.79269,                0.94073,             0.00053302,             0.00053302,             0.00053302
                     41,                0.81695,                 0.9566,                 1.0561,                0.97993,                0.99195,                  0.995,                0.89352,                0.55202,                0.76309,                0.92994,             0.00050944,             0.00050944,             0.00050944
                     42,                0.77453,                 0.9698,                 1.0806,                0.98755,                0.99306,                  0.995,                0.89197,                0.54351,                0.73675,                0.92399,             0.00048586,             0.00048586,             0.00048586
